applicant_id,name,age,gender,state,district,lat,lng,employment,monthly_income_inr,loan_type,loan_amount_inr,loan_tenure_months,is_agricultural,crop_type,land_acres,ndvi_score,rainfall_30d_mm,phone,email,device,browser,application_timestamp,cibil_score,existing_loans,default_history,dti,default_probability,outcome,app_velocity_30d,email_age_days,phone_age_days,ip_geo_mismatch,device_shared_count_30d,disposable_email,fraud_score
APP000001,Applicant 1,45,M,Rajasthan,Jaipur,26.5874,75.5734,Salaried,26932,Consumer Durable,22000,12,0,,0.0,0.0,0.0,+917373399426,pooja64@gmail.com,Other-Android,Chrome,2026-08-18T11:45:00,567,0,0,0.001,0.0192,0,1,1,222,1,0,0,0.5007
APP000002,Applicant 2,46,F,Maharashtra,Aurangabad,20.1219,75.5271,Salaried,17305,Two Wheeler,72000,24,0,,0.0,0.0,0.0,+917415393687,kavita54@yandex.com,Other-Android,Chrome,2026-08-13T09:35:00,673,2,0,0.004,0.0296,1,1,1299,1833,0,0,1,0.6225
APP000003,Applicant 3,30,M,Telangana,Warangal,17.9962,79.3899,Gig Worker,19181,Tractor,818000,60,1,Wheat,8.57,0.702,-30.6,+919935814872,suresh87@tempmail.com,iPhone,Edge,2026-08-09T18:44:00,540,0,0,0.016,0.0354,0,1,1102,679,0,1,1,0.7311
APP000004,Applicant 4,51,F,Andhra,Guntur,16.5043,80.3792,Gig Worker,13326,Used Car,482000,48,0,,0.0,0.0,0.0,+918137651678,priya41@tempmail.com,Other-Android,Edge,2026-08-12T11:08:00,600,0,1,0.017,0.0569,2,1,1767,1525,0,0,1,0.6225
APP000005,Applicant 5,21,F,Maharashtra,Latur,18.6237,76.4325,Homemaker,9765,Personal Loan,94000,24,0,,0.0,0.0,0.0,+917049310608,suresh97@yandex.com,Android-Realme,Edge,2026-08-06T15:00:00,737,0,0,0.009,0.0242,1,1,898,2107,0,0,1,0.6225
APP000006,Applicant 6,51,M,Rajasthan,Jaipur,26.5809,75.7761,Farmer,26232,Tractor,799000,60,1,Wheat,11.18,0.409,-58.4,+918320763135,anita17@yahoo.com,Android-Samsung,Opera,2026-08-25T10:08:00,538,0,0,0.011,0.0289,0,1,1,1959,0,0,0,0.1829
APP000007,Applicant 7,29,M,Rajasthan,Jodhpur,26.3097,72.6301,Self Employed Business,20701,Mobile Loan,14000,9,0,,0.0,0.0,0.0,+917274989148,kavita12@yandex.com,Feature-Phone,InApp,2026-08-02T11:04:00,655,2,0,0.001,0.0504,2,1,989,1937,0,1,1,0.7311
APP000008,Applicant 8,41,F,Bihar,Patna,25.8346,84.825,Farmer,24367,Two Wheeler,40000,24,1,Wheat,5.87,0.591,-17.8,+919775320897,suresh17@rediffmail.com,Android-Xiaomi,Safari,2026-08-18T15:08:00,526,0,0,0.002,0.036,0,1,1,1386,0,3,0,0.5007
APP000009,Applicant 9,55,M,MP,Indore,22.4513,75.4594,Driver,26335,Two Wheeler,59000,24,0,,0.0,0.0,0.0,+919085812759,deepa37@rediffmail.com,iPhone,Firefox,2026-08-26T20:29:00,616,2,0,0.002,0.0571,2,1,1,447,0,0,0,0.1829
APP000010,Applicant 10,41,M,Tamil Nadu,Madurai,10.0012,78.26,Farmer,23125,Two Wheeler,35000,24,0,,0.0,0.0,0.0,+917244295904,rahul20@yahoo.com,Android-Xiaomi,Edge,2026-08-04T17:15:00,652,0,0,0.001,0.0235,2,1,332,145,0,0,0,0.1824
APP000011,Applicant 11,47,F,Maharashtra,Nashik,19.7035,73.669,Self Employed Business,36781,Tractor,987000,60,1,Vegetables,0.61,0.874,-47.3,+917429416213,suresh78@yahoo.com,Android-Samsung,Safari,2026-08-12T12:10:00,577,0,0,0.01,0.0304,0,2,1244,95,0,0,0,0.2227
APP000012,Applicant 12,36,M,Tamil Nadu,Salem,11.8384,77.9089,Gig Worker,11657,Consumer Durable,60000,12,0,,0.0,0.0,0.0,+917667643690,arjun46@yandex.com,Feature-Phone,Firefox,2026-08-17T15:16:00,752,0,0,0.009,0.0171,1,1,1197,2101,0,0,1,0.6225
APP000013,Applicant 13,34,M,Karnataka,Tumakuru,13.283,76.7338,Farmer,11693,Two Wheeler,117000,24,0,,0.0,0.0,0.0,+919343292475,ramesh57@yandex.com,Android-Realme,Chrome,2026-08-12T11:43:00,696,1,0,0.009,0.0306,1,2,1509,424,0,1,1,0.7773
APP000014,Applicant 14,45,M,MP,Indore,22.533,76.0876,Driver,30618,Two Wheeler,37000,24,0,,0.0,0.0,0.0,+918426725702,manoj95@tempmail.com,Android-Samsung,Edge,2026-08-28T08:54:00,594,1,0,0.001,0.0418,2,1,2101,1243,0,0,1,0.6225
APP000015,Applicant 15,45,F,Maharashtra,Latur,18.1517,76.9304,Self Employed Business,26827,Used Car,206000,48,0,,0.0,0.0,0.0,+919303029031,kavita13@gmail.com,Android-Realme,Chrome,2026-08-04T17:27:00,633,0,0,0.004,0.0251,2,3,1294,865,0,0,0,0.2689
APP000016,Applicant 16,43,F,UP,Lucknow,26.9452,81.0769,Farmer,21161,Mobile Loan,9000,9,0,,0.0,0.0,0.0,+917846259450,kavita65@gmail.com,Android-Samsung,InApp,2026-08-10T16:19:00,598,0,0,0.001,0.0283,2,1,724,551,0,0,0,0.1824
APP000017,Applicant 17,48,M,Karnataka,Mysuru,12.3047,76.8744,Farmer,10956,Used Car,424000,48,0,,0.0,0.0,0.0,+918384049914,deepa66@rediffmail.com,Feature-Phone,Safari,2026-08-22T09:18:00,749,0,0,0.018,0.0175,1,1,1456,30,0,0,0,0.1831
APP000018,Applicant 18,21,F,Tamil Nadu,Madurai,9.9207,77.915,Salaried,28918,Two Wheeler,84000,24,0,,0.0,0.0,0.0,+918780010572,pooja34@tempmail.com,Feature-Phone,InApp,2026-08-01T20:55:00,704,0,0,0.003,0.012,1,3,2699,676,0,0,1,0.7311
APP000019,Applicant 19,23,F,MP,Indore,23.0374,76.0526,Farmer,23227,Gold Loan,20000,12,0,,0.0,0.0,0.0,+919631321682,rahul64@yandex.com,iPhone,Edge,2026-08-09T20:15:00,533,1,0,0.002,0.0516,0,1,311,950,0,0,1,0.6225
APP000020,Applicant 20,43,F,Maharashtra,Nashik,19.8622,73.7625,Gig Worker,14300,Used Car,406000,48,0,,0.0,0.0,0.0,+917656293602,anita18@rediffmail.com,Android-Samsung,Safari,2026-08-27T14:24:00,716,0,0,0.013,0.0194,1,2,1,844,0,0,0,0.2232
APP000021,Applicant 21,34,F,Rajasthan,Udaipur,24.5739,73.6236,Gig Worker,19989,Consumer Durable,17000,12,0,,0.0,0.0,0.0,+917947206476,deepa38@outlook.com,Feature-Phone,InApp,2026-08-26T14:46:00,612,1,0,0.002,0.0398,2,2,765,786,0,0,0,0.2227
APP000022,Applicant 22,34,F,Rajasthan,Jaipur,26.735,76.1483,Salaried,27046,Used Car,384000,48,0,,0.0,0.0,0.0,+917909074012,deepa51@outlook.com,iPhone,Firefox,2026-08-27T09:30:00,786,1,0,0.007,0.0135,1,1,1838,1098,0,0,0,0.1824
APP000023,Applicant 23,38,F,Andhra,Guntur,16.0409,80.5223,Salaried,28436,Two Wheeler,64000,24,0,,0.0,0.0,0.0,+917936150587,deepa99@outlook.com,Feature-Phone,InApp,2026-08-04T20:52:00,621,1,0,0.002,0.0236,2,2,1844,503,0,0,0,0.2227
APP000024,Applicant 24,41,M,Karnataka,Mysuru,12.3006,76.5124,Farmer,30488,Three Wheeler,197000,36,1,Cotton,9.66,0.672,-20.6,+919288123416,manoj94@outlook.com,iPhone,Edge,2026-08-04T14:23:00,621,0,0,0.004,0.0214,2,1,689,30,0,0,0,0.1831
APP000025,Applicant 25,37,F,UP,Varanasi,25.3735,83.1085,Self Employed Business,17005,Personal Loan,82000,24,0,,0.0,0.0,0.0,+917372214308,arjun67@yahoo.com,Android-Realme,Chrome,2026-08-16T21:20:00,660,1,0,0.004,0.0341,1,1,2289,730,1,0,0,0.5
APP000026,Applicant 26,26,F,Andhra,Guntur,16.084,80.5899,Salaried,24109,Consumer Durable,27000,12,0,,0.0,0.0,0.0,+919108061573,deepa12@gmail.com,Android-Realme,InApp,2026-08-19T13:30:00,606,0,0,0.002,0.0168,2,1,192,697,0,0,0,0.1824
APP000027,Applicant 27,36,F,Rajasthan,Jodhpur,26.6233,73.2904,Self Employed Business,26662,Three Wheeler,120000,36,0,,0.0,0.0,0.0,+917822662216,anita71@outlook.com,Android-Realme,Safari,2026-08-12T10:19:00,726,1,0,0.003,0.0269,1,3,736,782,0,0,0,0.2689
APP000028,Applicant 28,32,M,UP,Varanasi,25.039,83.2228,Gig Worker,10467,Tractor,779000,60,1,Vegetables,9.95,0.691,1.9,+918721025347,deepa19@yandex.com,Android-Realme,Chrome,2026-08-08T09:35:00,648,0,0,0.027,0.0207,2,1,776,30,0,1,1,0.732
APP000029,Applicant 29,27,M,Maharashtra,Nashik,19.7227,73.7166,Farmer,13329,Mobile Loan,19000,9,0,,0.0,0.0,0.0,+917674555072,anita32@yandex.com,Feature-Phone,Opera,2026-08-16T12:02:00,676,1,0,0.003,0.0323,1,3,1,1204,0,0,1,0.7316
APP000030,Applicant 30,26,M,Rajasthan,Jaipur,27.1465,75.8633,Driver,11032,Used Commercial Vehicle,667000,48,0,,0.0,0.0,0.0,+918140882778,priya19@gmail.com,Other-Android,Firefox,2026-08-15T09:29:00,599,0,0,0.028,0.0298,2,1,897,1074,0,0,0,0.1824
APP000031,Applicant 31,51,M,Maharashtra,Nashik,19.9739,73.911,Self Employed Business,40918,Personal Loan,30000,24,0,,0.0,0.0,0.0,+919887427412,arjun83@gmail.com,Android-Realme,Safari,2026-08-19T14:40:00,561,2,0,0.001,0.0673,0,1,309,1235,0,0,0,0.1824
APP000032,Applicant 32,24,M,UP,Varanasi,25.0677,82.8633,Farmer,22430,Two Wheeler,99000,24,1,Paddy,9.38,0.641,39.4,+917004943787,rahul69@rediffmail.com,iPhone,InApp,2026-08-15T20:03:00,531,1,0,0.004,0.0432,0,3,769,562,0,0,0,0.2689
APP000033,Applicant 33,33,F,Karnataka,Mysuru,12.6419,76.4729,Farmer,17595,Gold Loan,243000,12,0,,0.0,0.0,0.0,+918981903597,suresh92@yahoo.com,Feature-Phone,Firefox,2026-08-14T21:30:00,681,0,0,0.025,0.0223,1,1,2106,30,0,0,0,0.1831
APP000034,Applicant 34,49,F,Karnataka,Tumakuru,13.2153,77.1418,Daily Wage,5000,Tractor,829000,60,1,Paddy,11.99,0.805,-39.5,+919102989254,priya67@yandex.com,Other-Android,Edge,2026-08-15T13:55:00,640,2,0,0.038,0.0627,2,1,664,863,0,0,1,0.6225
APP000035,Applicant 35,21,M,Maharashtra,Latur,18.3368,76.6842,Farmer,20741,Tractor,1009000,60,1,Soybean,5.56,0.7,0.9,+919258942692,deepa11@tempmail.com,Android-Xiaomi,Chrome,2026-08-16T20:16:00,573,2,0,0.018,0.0679,0,3,1,454,0,0,1,0.7316
APP000036,Applicant 36,38,M,Rajasthan,Udaipur,24.5403,73.8677,Gig Worker,16834,Used Commercial Vehicle,900000,48,0,,0.0,0.0,0.0,+917388176285,manoj22@tempmail.com,Android-Samsung,Chrome,2026-08-11T20:03:00,524,0,1,0.025,0.0737,0,2,1,724,0,0,1,0.6798
APP000037,Applicant 37,39,M,MP,Indore,23.0387,75.8299,Farmer,22532,Two Wheeler,120000,24,0,,0.0,0.0,0.0,+918090824373,deepa42@tempmail.com,Android-Realme,InApp,2026-08-18T10:04:00,569,1,0,0.005,0.0461,0,1,255,899,0,2,1,0.8176
APP000038,Applicant 38,50,M,Maharashtra,Latur,18.7373,76.7565,Farmer,15770,Used Commercial Vehicle,711000,48,0,,0.0,0.0,0.0,+919827075539,manoj45@gmail.com,Android-Realme,Safari,2026-08-20T20:22:00,627,1,0,0.021,0.0392,2,2,947,30,0,0,0,0.2235
APP000039,Applicant 39,38,F,Bihar,Muzaffarpur,25.8614,85.0704,Salaried,21005,Used Car,347000,48,0,,0.0,0.0,0.0,+917564409423,suresh47@outlook.com,Other-Android,Firefox,2026-08-17T16:58:00,694,1,0,0.008,0.0187,1,5,180,504,0,2,0,0.6225
APP000040,Applicant 40,30,M,UP,Lucknow,26.6583,80.6451,Salaried,26557,Three Wheeler,209000,36,0,,0.0,0.0,0.0,+919393639475,kavita21@rediffmail.com,Android-Realme,InApp,2026-08-24T18:16:00,637,0,0,0.005,0.0152,2,1,1353,1221,1,1,0,0.6225
APP000041,Applicant 41,55,M,West Bengal,Murshidabad,24.532,88.1235,Salaried,17795,Mobile Loan,22000,9,0,,0.0,0.0,0.0,+918297896903,manoj24@yahoo.com,iPhone,Chrome,2026-08-04T11:56:00,632,0,0,0.002,0.0155,2,3,513,30,0,0,0,0.2699
APP000042,Applicant 42,26,F,MP,Bhopal,22.9083,77.2333,Farmer,22517,Mobile Loan,16000,9,1,Wheat,4.67,0.506,50.2,+919944974316,kavita79@tempmail.com,Android-Samsung,Edge,2026-08-03T18:13:00,570,0,1,0.001,0.0606,0,1,1314,657,0,0,1,0.6225
APP000043,Applicant 43,31,M,Karnataka,Mysuru,11.9837,76.9326,Salaried,31258,Two Wheeler,79000,24,0,,0.0,0.0,0.0,+917621430136,priya79@outlook.com,Android-Xiaomi,Chrome,2026-08-12T20:50:00,696,1,0,0.002,0.0182,1,2,2145,1272,0,0,0,0.2227
APP000044,Applicant 44,47,M,Gujarat,Surat,21.1624,73.1589,Farmer,14710,Mobile Loan,22000,9,1,Groundnut,6.5,0.653,-109.6,+917261243105,deepa61@rediffmail.com,Android-Samsung,Chrome,2026-08-11T17:09:00,677,1,0,0.003,0.0265,1,1,1,2915,0,0,0,0.1829
APP000045,Applicant 45,46,F,Tamil Nadu,Salem,11.5354,78.1088,Farmer,19902,Consumer Durable,19000,12,0,,0.0,0.0,0.0,+917923517027,manoj67@yahoo.com,iPhone,InApp,2026-08-04T13:27:00,609,1,0,0.002,0.0402,2,1,63,1148,0,0,0,0.1824
APP000046,Applicant 46,40,M,Rajasthan,Udaipur,24.9601,73.7928,Self Employed Business,23202,Gold Loan,95000,12,0,,0.0,0.0,0.0,+918764409657,kavita95@rediffmail.com,Android-Realme,Chrome,2026-08-19T16:13:00,600,1,0,0.008,0.0417,2,2,299,1621,0,0,0,0.2227
APP000047,Applicant 47,39,F,UP,Lucknow,27.0089,80.7934,Farmer,23601,Three Wheeler,155000,36,0,,0.0,0.0,0.0,+919615613239,arjun13@yahoo.com,Android-Realme,Firefox,2026-08-01T10:55:00,693,2,0,0.004,0.0445,1,1,1,1621,0,1,0,0.2695
APP000048,Applicant 48,46,M,UP,Lucknow,26.6644,81.0758,Salaried,24526,Mobile Loan,8000,9,0,,0.0,0.0,0.0,+917668210614,priya89@gmail.com,iPhone,Opera,2026-08-15T14:17:00,617,1,0,0.001,0.0239,2,3,1823,1576,0,0,0,0.2689
APP000049,Applicant 49,44,M,Karnataka,Belagavi,15.4559,74.6953,Homemaker,9276,Mobile Loan,19000,9,0,,0.0,0.0,0.0,+917589418977,arjun47@outlook.com,Android-Xiaomi,Safari,2026-08-13T16:45:00,611,2,0,0.004,0.0783,2,1,1538,862,0,0,0,0.1824
APP000050,Applicant 50,42,F,Tamil Nadu,Salem,11.3348,78.4216,Self Employed Business,18274,Used Commercial Vehicle,534000,48,0,,0.0,0.0,0.0,+918394868732,priya89@rediffmail.com,Android-Xiaomi,Edge,2026-08-19T14:33:00,709,3,0,0.013,0.0629,1,2,1147,2097,0,0,0,0.2227
APP000051,Applicant 51,23,F,Karnataka,Mysuru,12.0536,76.7213,Daily Wage,10119,Used Commercial Vehicle,900000,48,0,,0.0,0.0,0.0,+917634323009,anita23@yahoo.com,Feature-Phone,Chrome,2026-08-06T20:40:00,482,1,0,0.041,0.0872,0,1,1473,30,0,0,0,0.1831
